Anbieter;Kurzbeschreibung Anbieter;Kurzbeschreibung des Angebots;Informationen zum Angebot;Webseite;Straße + Hausnummer des Angebotorts;Ort;PLZ des Angebotorts;Bezirk;Gratis?;Kategorie;Zielgruppen;X WGS 84;Y WGS 84;Sprache;Slug;Freigegeben
Stars in Concert im ESTREL SHOWTHEATER;Seit 26 Jahren bestes Entertainment im Estrel Showtheater- ganzjährig Shows & Musicals. Internationale Künstler portraitieren Weltstars wie Elvis, Abba, Madonna und viele mehr.;Ermäßigter Eintritt für ausgewählte Shows;Freitag bis Sonntag Sonderpreis 23 Euro (der Sonderpreis gilt nicht für Fremdveranstaltungen und ist nicht mit anderen Aktionen kombinierbar). Das Angebot endet am 23.09.2023;https://www.stars-in-concert.de/;Sonnenallee 225;Berlin;12057;Neukölln;nein;Kultur;Erwachsene, Senioren, Familie;13,45876273;52,47305961;de;Stars in Concert im ESTREL SHOWTHEATER;ja
Stars in Concert at the ESTREL SHOWTHEATER;The best entertainment at the Estrel Showtheater for 26 years - shows & musicals all year round. International artists portray world stars such as Elvis, Abba, Madonna and many more.;Reduced admission for selected shows;Friday to Sunday special price 23 euros (the special price does not apply to external events and cannot be combined with other promotions). The offer ends on September 23, 2023;https://www.stars-in-concert.de/;Sonnenallee 225;Berlin;12057;Neukölln;nein;Kultur;Erwachsene, Senioren, Familie;13,45876273;52,47305961;en;Stars in Concert im ESTREL SHOWTHEATER;ja
1. FC Union Berlin e.V.;Der 1. FC Union Berlin, kurz Union Berlin, ist ein Fußballverein aus dem Berliner Ortsteil Köpenick.;Ermäßigungen bei allen Fußbalheimspielen von Union Berlin;Ermäßigungen bei allen Fußballspielen im Stadion An der Alten Försterei. Das Angebot ist erhältlich bei Vorlage des Berechtigungsnachweises in den Union-Zeughäusern, solange der Vorrat reicht. ab 9 Euro (je nach Verfügbarkeit der Kategorie);http://www.fc-union-berlin.de/de/;An der Wuhlheide 263;Berlin;12555;Treptow-Köpenick;nein;Sport;Kinder, Erwachsene, Familie, Senioren;13,56569156;52,45651183;de;1. FC Union Berlin e.V.;Ja
1. FC Union Berlin e.V.;1. FC Union Berlin, or Union Berlin for short, is a football club from the Berlin district of Köpenick.;Discounts on all Union Berlin home football games;Discounts on all football matches at the An der Alten Försterei stadium. The offer is available upon presentation of proof of eligibility in the Union Armouries, while stocks last. From 9 euros (depending on availability of the category);http://www.fc-union-berlin.de/de/;An der Wuhlheide 263;Berlin;12555;Treptow-Köpenick;nein;Sport;Kinder, Erwachsene, Familie, Senioren;13,56569156;52,45651183;en;1. FC Union Berlin e.V.;Ja
ABZ im Bürgerhaus Altglienicke;KiezZentrum, in dem eine Vielzahl von soziokulturellen Einrichtungen nicht nur für die Bürger des Ortsteils Altglienicke untergebracht sind.;Ermäßigung auf unterschiedliche Veranstaltungen;25 % bis 35 % Ermäßigung auf den Eintrittspreis bei ausgewählten Veranstaltungen ab 5 Euro Eintritt (Lesungen, Konzert etc.);http://www.buergerhaus-altglienicke.de/;Ortolfstraße 182;Berlin;12524;Treptow-Köpenick;nein;Kultur;Kinder, Erwachsene, Familie, Senioren;13,52827552;52,40345912;de;ABZ im Bürgerhaus Altglienicke;Ja
ABZ in the Altglienicke Community Center;Community center housing a variety of sociocultural facilities not only for the residents of the Altglienicke district;Discount on various events;25% to 35% discount on the entry price for selected events starting at 5 euros (readings, concerts, etc.);http://www.buergerhaus-altglienicke.de/;Ortolfstraße 182;Berlin;12524;Treptow-Köpenick;nein;Kultur;Kinder, Erwachsene, Familie, Senioren;13,52827552;52,40345912;en;ABZ im Bürgerhaus Altglienicke;Ja
ACTivity Schauspielschule;Schauspielschule in Potsdam, Babelsberg;Ermäßigung auf Unterrichtsgebühren;10 Euro Ermäßigung auf die Unterrichtsgebühren;https://www.activityschauspielschule.de;Hegelallee 53;Potsdam;14467;Potsdam;nein;Bildung & Beratung;Kinder, Familie;13,05644793;52,4030574;de;ACTivity Schauspielschule;Ja
ACTivity Acting School;Acting school in Potsdam, Babelsberg;Discount on tuition fees;10 Euro discount on tuition fees;https://www.activityschauspielschule.de;Hegelallee 53;Potsdam;14467;Potsdam;nein;Bildung & Beratung;Kinder, Familie;13,05644793;52,4030574;en;ACTivity Schauspielschule;Ja
ACUDkino;Gemütliches Art-House-Kino mit europäischen und Independent-Filmen und einem fantasievoll dekorierten Innenhof.;Ermäßigter Eintritt zu allen Kinovorstellungen;Ermäßigter Eintritt zu allen Kinovorstellungen: Erwachsene 7 Euro, Kinder/Jugendliche bis 12 Jahre 4 Euro;https://acudkino.de/;Veteranenstraße 21;Berlin;10119;Mitte;nein;Freizeit;Kinder, Erwachsene, Familie, Senioren;13,40107105;52,53323181;de;ACUDkino;Ja
ACUDkino;Cozy art-house cinema featuring European and independent films, with a creatively decorated courtyard;Discounted admission for all movie screenings;Discounted admission for all movie screenings: Adults 7 Euros, Children/Teenagers up to 12 years 4 Euros;https://acudkino.de/;Veteranenstraße 21;Berlin;10119;Mitte;nein;Freizeit;Kinder, Erwachsene, Familie, Senioren;13,40107105;52,53323181;en;ACUDkino;Ja
